date,category,tags,expense,income,amount_clp,description,day
2025-05-19,Transport,taxi,8449.0,0.0,8449.0,none,Monday
2025-05-19,Transport,taxi,3400.0,0.0,3400.0,none,Monday
2025-05-20,Food & Drinks,alcohol,20000.0,0.0,20000.0,none,Tuesday
2025-05-20,Transport,taxi,8465.0,0.0,8465.0,none,Tuesday
2025-05-20,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Tuesday
2025-05-20,Food & Drinks,alcohol,35000.0,0.0,35000.0,none,Tuesday
2025-05-21,Education,AI,790.0,0.0,790.0,iCloud,Wednesday
2025-05-21,Transport,taxi,2075.0,0.0,2075.0,none,Wednesday
2025-05-21,Food & Drinks,coffee & tea,5500.0,0.0,5500.0,none,Wednesday
2025-05-21,Food & Drinks,restaurants,11328.0,0.0,11328.0,none,Wednesday
2025-05-22,Food & Drinks,coffee & tea,4730.0,0.0,4730.0,none,Thursday
2025-05-22,Leisure,music,4.82,0.0,4545.0,Spotify,Thursday
2025-05-23,Health & Personal Care,cosmetics,30000.0,0.0,30000.0,Limpieza facial,Friday
2025-05-23,Transport,travel card,4000.0,0.0,4000.0,none,Friday
2025-05-24,Food & Drinks,coffee & tea,11650.0,0.0,11650.0,none,Saturday
2025-05-24,Food & Drinks,restaurants,12989.0,0.0,12989.0,none,Saturday
2025-05-24,Health & Personal Care,manicure/pedicure,29150.0,0.0,29150.0,none,Saturday
2025-05-25,Food & Drinks,groceries,21982.0,0.0,21982.0,none,Sunday
2025-05-26,Transport,taxi,4767.0,0.0,4767.0,none,Monday
2025-05-26,Food & Drinks,groceries,3990.0,0.0,3990.0,none,Monday
2025-05-26,Transport,taxi,7683.0,0.0,7683.0,none,Monday
2025-05-26,Food & Drinks,groceries,46094.0,0.0,46094.0,none,Monday
2025-05-27,Health & Personal Care,medicine,9099.0,0.0,9099.0,Contact lens solution,Tuesday
2025-05-27,Education,books/library,1200.0,0.0,1200.0,Emergency bag print,Tuesday
2025-05-28,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-05-28,Food & Drinks,restaurants,12469.0,0.0,12469.0,none,Wednesday
2025-05-28,Leisure,events,20700.0,0.0,20700.0,Club30,Wednesday
2025-05-29,Food & Drinks,restaurants,7518.0,0.0,7518.0,none,Thursday
2025-05-29,Education,AI,2100.0,0.0,1971753.0,Outskill,Thursday
2025-05-30,Transport,taxi,7030.0,0.0,7030.0,none,Friday
2025-05-30,Food & Drinks,restaurants,9928.0,0.0,9928.0,none,Friday
2025-05-30,Transport,travel card,4000.0,0.0,4000.0,none,Friday
2025-05-31,Food & Drinks,alcohol,30880.0,0.0,30880.0,none,Saturday
2025-05-31,Clothing & Footwear,clothes,33000.0,0.0,33000.0,Closet Sale ,Saturday
2025-05-31,Home & Utilities,home improvement,32380.0,0.0,32380.0,Mouvair air filter replacement,Saturday
2025-05-31,Leisure,"art, events",30000.0,0.0,30000.0,Pincel y copas,Saturday
2025-06-01,Home & Utilities,laundry,32000.0,0.0,32000.0,Mr Laundry for second hand clothes,Sunday
2025-06-01,Home & Utilities,home improvement,9580.0,0.0,9580.0,The Pink Stuff cleaner,Sunday
2025-06-01,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Sunday
2025-06-01,Home & Utilities,home improvement,25880.0,0.0,25880.0,Cloth hanging rack,Sunday
2025-06-01,Food & Drinks,groceries,61819.0,0.0,61819.0,none,Sunday
2025-06-01,Food & Drinks,groceries,40548.0,0.0,40548.0,none,Sunday
2025-06-02,Health & Personal Care,gym/exercise,158000.0,0.0,158000.0,VFIT gym membership,Monday
2025-06-02,Home & Utilities,internet,26387.0,0.0,26387.0,none,Monday
2025-06-02,Home & Utilities,rent,887205.0,0.0,887205.0,none,Monday
