Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
2/11/25,DBS Savings,Food & Drinks,coffee & tea,"4,200",0,CLP,"4,200",CLP,
2/13/25,DBS Savings,Transport,taxi,"3,737",0,CLP,"3,737",CLP,
2/13/25,DBS Savings,Leisure,events,"13,440",0,CLP,"13,440",CLP,Comedy at Chueca
2/13/25,DBS Savings,Transport,taxi,"4,703",0,CLP,"4,703",CLP,
2/13/25,DBS Savings,Food & Drinks,groceries,"26,770",0,CLP,"26,770",CLP,
2/13/25,DBS Savings,Food & Drinks,restaurants,"11,199",0,CLP,"11,199",CLP,
2/13/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
2/14/25,DBS Savings,Transport,taxi,"4,128",0,CLP,"4,128",CLP,
2/14/25,DBS Savings,Food & Drinks,restaurants,"7,280",0,CLP,"7,280",CLP,
2/14/25,DBS Savings,Food & Drinks,restaurants,"7,290",0,CLP,"7,290",CLP,
2/15/25,DBS Savings,Leisure,movies & TV,9.55,0,SGD,"6,782.00",CLP,Netflix
2/15/25,DBS Savings,Home & Utilities,utilities,"20,852",0,CLP,"20,852",CLP,Enel
2/15/25,DBS Savings,Food & Drinks,restaurants,"12,050",0,CLP,"12,050",CLP,
2/15/25,DBS Savings,Food & Drinks,restaurants,"13,909",0,CLP,"13,909",CLP,
2/15/25,DBS Savings,Transport,taxi,"3,120",0,CLP,"3,120",CLP,
2/16/25,DBS Savings,Food & Drinks,restaurants,"15,229",0,CLP,"15,229",CLP,
2/17/25,DBS Savings,Education,,"229,000",0,CLP,"229,000",CLP,Driving classes
2/17/25,DBS Savings,Health & Personal Care,medical services,"759,086",0,CLP,"759,086",CLP,Banmedica
2/17/25,DBS Savings,Health & Personal Care,gym/exercise,51.71,0,SGD,"36,537.00",CLP,Class Pass
2/17/25,DBS Savings,Leisure,movies & TV,"1,945",0,CLP,"1,945",CLP,Cinema Flow
2/17/25,DBS Savings,Food & Drinks,restaurants,"9,550",0,CLP,"9,550",CLP,
2/18/25,DBS Savings,Food & Drinks,restaurants,"19,030",0,CLP,"19,030",CLP,
2/18/25,DBS Savings,Health & Personal Care,manicure/pedicure,"26,500",0,CLP,"26,500",CLP,Pedicure
2/18/25,DBS Savings,Transport,taxi,"3,566",0,CLP,"3,566",CLP,
2/18/25,DBS Savings,Transport,taxi,"3,461",0,CLP,"3,461",CLP,
2/19/25,DBS Savings,Food & Drinks,restaurants,"11,329",0,CLP,"11,329",CLP,
2/19/25,DBS Savings,Food & Drinks,groceries,"40,130",0,CLP,"40,130",CLP,
2/20/25,DBS Savings,Food & Drinks,groceries,"5,120",0,CLP,"5,120",CLP,
